# x  y  z  value
-0.77301 0.634393 0 -0.113643
-0.738778 0.607969 0 -0.114876
-0.704546 0.581544 0 -0.118712
-0.707107 0.707107 0 -0.113743
-0.681218 0.681218 0 -0.114623
-0.65533 0.65533 0 -0.117338
-0.672174 0.556647 0 -0.124916
-0.639803 0.53175 0 -0.133869
-0.629442 0.629442 0 -0.122014
-0.603553 0.603553 0 -0.128812
-0.672956 0.369233 0 -0.154288
-0.63361 0.350322 0 -0.17351
-0.641192 0.438711 0 -0.150854
-0.606332 0.417474 0 -0.167766
-0.594264 0.331411 0 -0.197861
-0.554917 0.3125 0 -0.228315
-0.571472 0.396237 0 -0.18895
-0.536612 0.375 0 -0.215143
-0.609429 0.508188 0 -0.145121
-0.579054 0.484625 0 -0.159469
-0.577665 0.577665 0 -0.137952
-0.551777 0.551777 0 -0.149696
-0.54868 0.461063 0 -0.177354
-0.518306 0.4375 0 -0.199327
-0.525888 0.525888 0 -0.164377
-0.5 0.5 0 -0.182407
-0.586235 0.059264 0 -0.269625
-0.544329 0.0560279 0 -0.315334
-0.570217 0.118528 0 -0.276528
-0.5306 0.112056 0 -0.321447
-0.502423 0.0527919 0 -0.371389
-0.460517 0.0495558 0 -0.440217
-0.490982 0.105584 0 -0.376015
-0.451364 0.0991117 0 -0.442389
-0.5542 0.177792 0 -0.277045
-0.51687 0.168084 0 -0.320126
-0.538182 0.237056 0 -0.2711
-0.503141 0.224112 0 -0.311509
-0.479541 0.158376 0 -0.372044
-0.442211 0.148667 0 -0.434679
-0.4681 0.211167 0 -0.359912
-0.433058 0.198223 0 -0.417931
-0.418611 0.0463198 0 -0.524987
-0.376705 0.0430837 0 -0.629906
-0.411746 0.0926396 0 -0.523347
-0.372129 0.0861675 0 -0.622524
-0.334799 0.0398477 0 -0.760626
-0.292893 0.0366117 0 -0.924635
-0.332511 0.0796954 0 -0.744707
-0.292893 0.0732233 0 -0.896164
-0.404882 0.138959 0 -0.510424
-0.367552 0.129251 0 -0.602361
-0.398017 0.185279 0 -0.487608
-0.362976 0.172335 0 -0.571542
-0.330223 0.119543 0 -0.714497
-0.292893 0.109835 0 -0.852032
-0.327934 0.159391 0 -0.673075
-0.292893 0.146447 0 -0.796527
-0.522164 0.29632 0 -0.259412
-0.489411 0.28014 0 -0.296578
-0.506147 0.355584 0 -0.24329
-0.475682 0.336167 0 -0.276911
-0.456658 0.263959 0 -0.340934
-0.423905 0.247779 0 -0.393883
-0.445217 0.316751 0 -0.316993
-0.414752 0.297335 0 -0.364757
-0.490129 0.414848 0 -0.224369
-0.461953 0.392195 0 -0.254356
-0.474112 0.474112 0 -0.204318
-0.448223 0.448223 0 -0.23072
-0.433776 0.369543 0 -0.29016
-0.4056 0.346891 0 -0.332854
-0.422335 0.422335 0 -0.262383
-0.396447 0.396447 0 -0.30026
-0.391152 0.231599 0 -0.45717
-0.358399 0.215419 0 -0.53298
-0.384288 0.277919 0 -0.421723
-0.353823 0.258502 0 -0.489788
-0.325646 0.199238 0 -0.624117
-0.292893 0.183058 0 -0.734199
-0.323358 0.239086 0 -0.571232
-0.292893 0.21967 0 -0.669136
-0.377423 0.324238 0 -0.383778
-0.349246 0.301586 0 -0.444625
-0.370558 0.370558 0 -0.345535
-0.34467 0.34467 0 -0.3997
